TANGGAL,TN,TX,TAVG,RH_AVG,RR,FF_X,FF_AVG
02-02-2024,24.2,29,26.3,85,0,4,2
03-02-2024,23.6,31.7,28,79,3.9,5,2
04-02-2024,24.1,30.6,27.8,81,1.5,4,2
05-02-2024,23.2,31.5,28.9,74,16.3,5,3
06-02-2024,24.2,30,27.2,83,0,5,1
07-02-2024,24,31,26.5,80,8888,4,2
08-02-2024,23.2,31.4,28.3,74,15.6,3,1
09-02-2024,24,31.7,29.2,73,0,5,2
10-02-2024,24.2,30,27.4,82,0,3,2
11-02-2024,24,31.8,29.2,73,1,5,2
12-02-2024,23.6,31.8,28.9,74,0,6,3
13-02-2024,23.4,31.8,29.5,71,0,3,2
14-02-2024,24.6,32.1,29,76,0,3,1
15-02-2024,25,32.4,29.4,77,5,5,2
16-02-2024,23.8,33.5,30.1,72,,6,3
17-02-2024,24.8,31.7,29.7,75,0,9,2
18-02-2024,24.2,32.7,29.8,71,5.2,5,2
19-02-2024,24.7,32,28,83,0,6,2
20-02-2024,24.2,32.8,28.9,79,25.7,4,2
21-02-2024,25,32.8,30.3,75,1.6,4,2
22-02-2024,25.5,33.1,30.5,63,0,6,3
23-02-2024,24.9,32,29.3,74,0,4,2
24-02-2024,25.2,32.4,27.6,80,0,5,2
25-02-2024,23.4,31.1,26,88,20.7,8,2
26-02-2024,22.8,32.4,29.1,76,115.6,5,2
27-02-2024,23.6,32.3,29,75,0,4,2
28-02-2024,23.8,31.9,27.3,82,8888,4,1
29-02-2024,22.9,32.2,28.6,78,25.9,2,1
01-03-2024,25,31.2,28,81,8888,8,2
02-03-2024,23.6,32,27.8,83,,2,1
03-03-2024,23.5,31.8,28.3,82,94.5,4,2
04-03-2024,24.4,31.8,29,76,2.1,5,3
05-03-2024,25.2,32.2,28.2,80,0,5,2
06-03-2024,24.2,32,28,84,5.7,2,1
07-03-2024,23.9,31.1,28.7,82,32,3,1
08-03-2024,25,30.6,27.8,85,12.3,8,3
09-03-2024,24.6,28.2,25.3,92,26.9,5,2
10-03-2024,22.9,29.8,27.3,81,31,2,0
11-03-2024,23,30.3,28.1,80,0,5,2
12-03-2024,24.2,33.2,29.9,66,2.5,6,3
13-03-2024,24,31.8,29.6,70,0,7,2
14-03-2024,24.6,31,27.5,83,0,6,2
15-03-2024,23.6,31.5,28.4,78,21,7,3
16-03-2024,24.6,31.4,29.1,68,1,7,4
17-03-2024,24.6,31.3,28.5,74,0,7,4
18-03-2024,24.2,31.4,29.1,63,0,6,4
19-03-2024,23.6,32.2,29.4,66,0,8,4
20-03-2024,22.8,32.8,29.7,66,0,5,3
21-03-2024,24,31.6,28.4,73,0,2,1
22-03-2024,23.5,32,29.1,77,4,4,2
23-03-2024,24.8,32.6,29.8,72,28.8,5,2
24-03-2024,24.2,32.6,29.8,72,,3,2
25-03-2024,23.2,31.4,27.9,80,6.6,3,2
26-03-2024,24.8,32,27.8,82,1.1,4,2
27-03-2024,21.4,30.8,27.7,78,,3,2
28-03-2024,20.8,30.2,26.3,88,0,5,1
29-03-2024,23.8,31.4,29,78,38.9,3,1
30-03-2024,25.2,32.2,29.9,75,0,4,2
31-03-2024,25.6,30.4,28.1,82,0,3,2
01-04-2024,25.4,29.2,27,88,0,4,2
02-04-2024,24.8,30.3,28.3,85,8.7,5,2
03-04-2024,24.8,32.6,29.7,79,1.5,3,2
04-04-2024,25.4,31.8,29.9,78,5,4,2
05-04-2024,25,32,29.5,77,0,5,2
06-04-2024,24.2,33.2,30,66,0,5,2
07-04-2024,23.3,32.9,29.3,72,0,3,2
08-04-2024,23.6,32.4,29,78,2.8,4,2
09-04-2024,24,30.3,27.7,84,8888,4,2
10-04-2024,24.6,31,27.2,86,1.3,6,2
11-04-2024,24.2,31.2,27.2,86,28.3,6,2
12-04-2024,24,31.8,28.5,82,43.6,3,1
13-04-2024,24.3,32,28.3,82,1.4,4,2
14-04-2024,23.8,33,28.8,79,25.9,4,2
15-04-2024,24.8,32.3,29.6,76,0,5,1
16-04-2024,25.2,33.4,30.1,74,11.5,4,2
17-04-2024,24.8,32.4,29.6,74,0.8,5,2
18-04-2024,25.2,30.8,27,85,0,3,2
19-04-2024,23.7,32,27.7,84,79.1,3,1
20-04-2024,23.6,32,28.9,78,12.9,3,1
21-04-2024,24.4,31.8,27.2,87,0,4,2
22-04-2024,23.8,32,29.1,79,13.6,3,1
23-04-2024,25.6,31.4,26.6,90,2.2,2,1
24-04-2024,23.2,32,28.6,82,52.2,4,1
25-04-2024,25.2,29.6,26.7,92,0.8,2,1
26-04-2024,24,33.6,29.7,77,17.5,4,2
27-04-2024,24.8,33.6,29.9,74,8.7,4,2
28-04-2024,24.6,32.4,29.2,80,0.4,3,2
29-04-2024,24.2,33.4,30.1,71,3.4,3,1
30-04-2024,24.4,32.6,29.5,74,0,2,1
01-05-2024,24.2,32.4,29.5,76,0,5,2
02-05-2024,23.9,32,29.4,76,8888,4,2
03-05-2024,22.8,32.3,29.4,74,0.9,4,1
04-05-2024,23.4,32,29,65,,4,2
05-05-2024,22.2,30.9,28.2,71,0,3,2
06-05-2024,22.6,31.4,28.7,67,0,3,2
07-05-2024,21.3,31.6,28.6,71,0,5,2
08-05-2024,23.2,32.4,29.1,75,,4,2
09-05-2024,23.2,32.2,29,76,,2,1
10-05-2024,24.2,32.5,29.1,73,,5,1
11-05-2024,23.9,33.4,29.6,74,0,2,1
12-05-2024,23.6,32.2,29.3,76,0,3,1
13-05-2024,23.9,33.3,29.4,72,,3,1
14-05-2024,23.4,32.3,28.7,73,,4,2
15-05-2024,23.5,,27.7,79,,2,1
16-05-2024,,32.6,29.1,70,,3,2
17-05-2024,,32.3,28.9,74,,3,1
18-05-2024,23,33.2,29.6,69,0.2,4,1
19-05-2024,22.2,32,28.9,63,0,4,2
20-05-2024,22.5,31.9,28.8,71,,4,2
21-05-2024,,32.2,28.6,71,,4,2
22-05-2024,23.1,,28.3,75,,3,2
23-05-2024,23.4,31.6,28.5,75,,4,2
24-05-2024,24,30.5,27.5,84,2.8,2,1
25-05-2024,,,27.6,84,3.8,3,1
26-05-2024,23.8,31.7,28.3,78,,5,2
27-05-2024,23.4,31.9,28.3,80,,4,2
28-05-2024,24.2,32.2,28.9,77,,4,1
29-05-2024,23.6,31.7,28.8,77,,4,2
30-05-2024,23.8,31,28.3,79,,3,2
31-05-2024,23.4,31.8,28.4,76,,4,2
01-06-2024,24,32.2,29.2,77,,4,2
02-06-2024,25,32.4,29.2,77,0,3,2
03-06-2024,20.5,32.8,29.5,67,0,5,2
04-06-2024,23.6,32.4,29,69,,4,2
05-06-2024,22.8,32,28.9,68,,4,2
06-06-2024,22.3,,29.3,68,0,4,2
07-06-2024,23.1,31.9,28.8,72,0,3,2
08-06-2024,22.2,32.4,28.8,72,0,3,1
09-06-2024,23.9,32.4,28.8,74,,3,2
10-06-2024,23.6,32.2,29,73,,3,1
11-06-2024,23.8,33.2,29.6,71,,4,2
12-06-2024,25.2,32,27.7,82,0,3,1
13-06-2024,23,31.2,28.2,74,16.3,3,2
14-06-2024,24,31.5,29.1,74,8888,3,1
15-06-2024,23.8,31,28.6,78,0,4,2
16-06-2024,22.5,31.4,28.1,72,,3,1
17-06-2024,23,32.6,29.1,68,0,6,2
18-06-2024,23.2,32.5,29.4,71,0,3,2
19-06-2024,22.2,31.2,27.9,71,0,5,2
20-06-2024,21.3,32.2,28.2,68,0,5,2
21-06-2024,22,31,28.1,68,,5,2
22-06-2024,21,31,27.9,69,0,5,2
23-06-2024,22.2,30.4,27.9,72,0,3,2
24-06-2024,24.4,30,27.9,72,0,5,2
25-06-2024,23,31,28.2,74,0,3,1
26-06-2024,24.2,32.8,29.4,70,0,2,1
27-06-2024,24.9,33,28.5,78,,4,1
28-06-2024,25,31.8,29.1,76,12,3,1
29-06-2024,24.6,,28.4,79,16.5,3,2
30-06-2024,23.4,32.2,28.8,72,0,4,2
01-07-2024,22.4,31.4,28.6,72,0,3,2
02-07-2024,23.4,31,28,77,0,4,1
03-07-2024,23.2,32.4,29.2,71,,3,2
04-07-2024,24.2,28.2,25.8,88,14.6,4,2
05-07-2024,22.8,31.2,28.1,76,4.7,3,1
06-07-2024,22.8,31.3,28.1,72,0,8,3
07-07-2024,22.5,31.2,28.6,73,,3,1
08-07-2024,,31.1,,,,4,2
09-07-2024,20.6,31.5,25,79,0,4,1
10-07-2024,21,31.6,25.6,79,0,4,2
11-07-2024,21.2,30.8,25.4,74,0,4,2
12-07-2024,20.2,31,25.3,74,0,3,2
13-07-2024,20.6,30,24.6,77,0,5,2
14-07-2024,18.8,30.7,24.1,74,0,4,2
15-07-2024,19.8,30.5,24.3,74,0,6,2
16-07-2024,19.6,30.5,24.6,77,0,5,2
17-07-2024,21.6,30.6,25.7,80,0,4,2
18-07-2024,21.3,31.7,25.6,79,0,3,2
19-07-2024,20.4,32.2,26.1,72,0,5,2
20-07-2024,19.6,30.6,24.3,76,0,5,2
21-07-2024,19.6,31.5,24.6,75,0,5,3
22-07-2024,20.5,30.4,24.5,81,0,4,2
23-07-2024,21.7,30.7,25.4,80,0,6,3
24-07-2024,22.3,30.5,24.9,81,0,6,3
25-07-2024,21.5,30.2,25,76,0,4,2
26-07-2024,21.6,30.8,25.6,78,0,5,2
27-07-2024,22,32.3,26.2,75,0,5,2
28-07-2024,21.7,30.5,25.7,79,0,5,2
29-07-2024,22.9,30.4,25.6,81,0,3,1
30-07-2024,22.4,31.2,25.7,81,0,4,2
31-07-2024,22.1,31,25.6,83,0,6,2
01-08-2024,24.2,31.4,26.5,83,10,6,2
02-08-2024,24.2,30.9,26.8,83,0,6,3
03-08-2024,23,31.7,26.2,83,0,4,2
04-08-2024,23.2,31.5,26.7,77,0,4,2
05-08-2024,21,31.9,26.1,75,0,5,2
06-08-2024,20.4,31.3,25.8,75,0,4,2
07-08-2024,20.4,30.3,25,80,0,5,3
08-08-2024,23.3,30.4,26.2,81,0,4,2
09-08-2024,22.8,32,26.4,79,0,4,2
10-08-2024,23.2,31.5,26.3,83,0,4,2
11-08-2024,21.6,30.8,25.3,75,0,6,3
12-08-2024,18.6,30.7,24.6,67,0,4,2
13-08-2024,18.4,31.2,24.6,69,0,5,3
14-08-2024,20.1,32.3,24.8,76,0,5,3
15-08-2024,20.2,30.8,24.6,76,0,5,3
16-08-2024,20,30,24.3,75,0,5,2
17-08-2024,19.9,31,25.3,76,0,5,2
18-08-2024,19.8,30.7,24.8,79,0,6,3
19-08-2024,20.8,30.3,24.8,78,0,5,2
20-08-2024,20,31.4,26.3,70,0,5,2
21-08-2024,21.5,31.3,25.9,76,0,11,3
22-08-2024,21,30.4,24.5,83,0,4,2
23-08-2024,22,30.6,25.2,80,0,5,3
24-08-2024,23.2,32,26.2,77,0,6,3
25-08-2024,21.5,30.4,25.3,80,0,6,3
26-08-2024,22.4,32.2,26.5,78,0,5,2
27-08-2024,21.8,29.8,25.1,82,0,6,3
28-08-2024,22,30.4,25.4,83,0,6,3
29-08-2024,23.6,31,26,81,8888,6,3
30-08-2024,21.6,31,25.1,81,0,4,2
31-08-2024,21.8,29.4,25.5,80,0,5,3
01-09-2024,23,29.4,25.9,81,0,4,2
02-09-2024,21.6,32.2,26,78,0,4,2
03-09-2024,22,31.4,26.5,77,0,5,2
04-09-2024,23,31.5,25.9,85,0,5,3
05-09-2024,24.4,33,27.4,80,0,5,2
06-09-2024,22.8,33.9,27.6,71,0,7,3
07-09-2024,21.8,33.3,27.1,77,0,5,3
08-09-2024,24,31.8,27.1,81,8888,5,2
09-09-2024,23.1,32,26.6,83,12,5,2
10-09-2024,23.8,30.8,26.2,85,0.6,4,2
11-09-2024,23.3,31.9,26.7,82,3.2,4,2
12-09-2024,22.6,32.3,26.3,80,0,5,3
13-09-2024,21.4,31.2,25.9,80,0,5,3
14-09-2024,22.1,31,25.8,80,0,5,3
15-09-2024,22.6,32,26.5,78,0,7,3
16-09-2024,22.8,31,26,80,0,6,3
17-09-2024,20.8,31.3,25.1,81,0,6,3
18-09-2024,21.2,31,25.7,76,0,6,3
19-09-2024,20.6,31.7,26,75,0,5,3
20-09-2024,20.4,33.2,26.5,72,0,5,2
21-09-2024,22.4,32.5,27,75,0,5,2
22-09-2024,23.4,33.6,27.5,77,0,5,2
23-09-2024,24.2,33.2,27.9,79,0,4,2
24-09-2024,25,32.4,26.9,86,6,3,2
25-09-2024,23,31.6,26.8,80,14.4,5,2
26-09-2024,23.1,32.4,26.9,82,0.4,6,2
27-09-2024,23.3,32.5,27.2,83,43.1,3,2
28-09-2024,23.8,33.6,28.2,79,0,4,2
29-09-2024,24.2,34.8,28.6,74,0,5,2
30-09-2024,23.4,34.8,28.7,73,0,4,2
01-10-2024,25,32,27.7,80,0,4,2
02-10-2024,24.2,31.8,27.4,82,6.7,6,3
03-10-2024,24.8,32.2,27.6,82,0,5,2
04-10-2024,23.4,33,27.5,78,0,7,3
05-10-2024,24.2,32.9,27.7,80,0,5,2
06-10-2024,23.2,34.1,28.5,71,0,5,2
07-10-2024,24.2,34.2,28.2,77,0,5,2
08-10-2024,24.9,32.6,27.8,78,0,5,2
09-10-2024,25,32.7,28.1,75,0,5,2
10-10-2024,24.6,33.5,28.3,78,8888,6,3
11-10-2024,23.3,34,28.2,75,0,4,2
12-10-2024,24,36.8,28.7,72,0,5,2
13-10-2024,24.6,35.1,28.6,79,0,8,3
14-10-2024,24.6,34,27.9,80,0,5,2
15-10-2024,23.8,33.2,27.8,73,5.5,5,2
16-10-2024,21.8,32.7,26.9,76,0,8,3
17-10-2024,21.4,31.7,26.9,70,0,7,3
18-10-2024,22,31.9,26.9,78,0,5,2
19-10-2024,23.6,30.8,27.1,78,0.3,5,2
20-10-2024,24.3,28,25.1,90,2,3,1
21-10-2024,22.2,32.4,27.8,72,8.5,5,2
22-10-2024,23.7,31.6,27.1,80,0,4,2
23-10-2024,24,31.5,27.1,81,4.5,5,3
24-10-2024,23,31.4,27.3,76,0,4,2
25-10-2024,23.7,31,27.4,78,0,4,3
26-10-2024,24,31,27.3,80,0,4,2
27-10-2024,23.9,32,28,78,0,5,3
28-10-2024,25.2,31.9,27.7,80,0,5,2
29-10-2024,24.6,32.6,28.1,76,0,5,3
30-10-2024,24.6,32.4,27.6,82,0,5,3
31-10-2024,23.8,32.6,28.1,82,14.5,5,2
01-11-2024,25.2,31.8,25.5,93,1,3,1
02-11-2024,22.8,32.9,27.6,83,40.4,3,2
03-11-2024,23.3,30.2,26.2,86,9.3,4,1
04-11-2024,23,32.8,26.2,83,18.5,6,2
05-11-2024,22.6,33.2,27.9,79,63.6,3,2
06-11-2024,23.3,33.5,28.7,73,0,6,2
07-11-2024,23.8,32.2,27.5,83,0,3,2
08-11-2024,23.1,30.6,26.8,87,42,4,2
09-11-2024,24.7,32,27.3,87,0.4,4,2
10-11-2024,23.3,31.5,26.9,88,25.9,7,2
11-11-2024,24,31,26.5,88,2.5,4,2
12-11-2024,23,32,27,85,5.9,5,2
13-11-2024,24,34.4,28.2,81,3.4,5,1
14-11-2024,23.9,33.5,27.9,81,0,6,2
15-11-2024,24.4,31.9,27.2,83,12,3,1
16-11-2024,25.1,33,26.1,90,0,5,1
17-11-2024,23,32.8,26.1,88,4.2,5,2
18-11-2024,24.2,31.5,26.9,86,1.9,4,1
19-11-2024,23.8,31.3,26.7,87,7.8,5,2
20-11-2024,23,32,26.4,89,50.1,3,1
21-11-2024,24.2,31.9,27,89,6.2,5,1
22-11-2024,24,31.8,26.3,92,9.7,5,2
23-11-2024,22.9,31.8,27,87,47.6,6,2
24-11-2024,23.8,31.6,25.9,92,8888,6,2
25-11-2024,23.1,32.4,26.3,88,62.3,4,2
26-11-2024,24.2,32,27.5,83,2,5,3
27-11-2024,24,31.1,27.5,79,0,6,3
28-11-2024,23.2,29,25.3,89,6,3,1
29-11-2024,22.6,31.2,27.2,85,62.2,6,3
30-11-2024,24.6,30.2,25.9,91,7.9,4,2
01-12-2024,23.4,29.1,26.1,87,54.5,3,1
02-12-2024,24.6,29.8,25.9,92,2,5,2
03-12-2024,24.2,31.4,26.5,86,9.3,5,2
04-12-2024,23.6,29.6,26,87,2.2,4,2
05-12-2024,23.5,32.7,27,85,4,3,2
06-12-2024,23.2,31,25.9,90,20.7,5,1
07-12-2024,23,31.8,26.4,87,24,5,2
08-12-2024,23.4,31.4,26.7,87,17.5,5,2
09-12-2024,22.7,30.6,26.3,88,14.9,4,2
10-12-2024,23.8,29.8,25.1,97,10.3,7,3
11-12-2024,23.2,31.6,26.7,86,65.8,6,3
12-12-2024,23.2,27.4,25.7,91,4,2,1
13-12-2024,23.5,32.4,26.9,87,9.5,13,2
14-12-2024,24,26.6,24.9,95,24.2,3,1
15-12-2024,23,31.3,26.5,88,20.7,3,1
16-12-2024,24.2,29.9,26.5,86,23,4,1
17-12-2024,23.7,31.8,26.4,87,5,3,1
18-12-2024,22.8,30.8,26.7,86,35.7,5,3
19-12-2024,24,32.1,28.8,71,8888,7,4
20-12-2024,24.4,31.6,26.5,87,0,6,3
21-12-2024,22.9,32.3,27.4,85,21.1,4,1
22-12-2024,24.2,32.4,27.1,85,0.6,6,2
23-12-2024,23.6,32.3,26.9,86,1.7,4,2
24-12-2024,24.6,30.6,26.2,89,8888,4,2
25-12-2024,23.5,30.6,26.6,88,22.6,4,2
26-12-2024,23.9,29.8,26.4,84,2.4,9,3
27-12-2024,23,32.4,27.6,78,8.2,5,3
28-12-2024,25,30.6,26.2,86,0,5,2
29-12-2024,23.4,28.4,25.1,89,9.3,3,1
30-12-2024,24,30.8,26.3,86,4.6,5,2
31-12-2024,23.7,30.8,26.9,80,2.3,3,2
01-01-2025,23.2,31.5,25.7,87,8.6,3,1
02-01-2025,22.8,31.2,26.6,82,46.7,4,2
03-01-2025,22.2,30.6,26.3,79,0,5,3
04-01-2025,23.8,31,27.4,76,0,8,3
05-01-2025,23,27.2,24.2,94,20.9,5,2
06-01-2025,22.4,29.8,25.4,88,14.2,4,2
07-01-2025,22.8,31.7,25.6,90,16.3,9,2
